umur,gender,tempat_tinggal,konsumsi_kopi,frekuensi_kopi,jumlah_kopi,nominal_olah,nominal_beli,metode,jenis_biji,faktor_beli,jenis_kopi,perusahaan_kopi,preferensi_tempat,tingkat_percobaan,preferensi_tren,pengalaman,preferensi_merekomendasikan
18 - 24 tahun,Laki-laki,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Dalam situasi tertentu / tidak pasti,1.0,"Rp8.000,00 - Rp39.999,00","Rp30.000,00 - Rp40.000,00",Diseduh,Tidak tahu / tidak ada preferensi khusus,rasa,latte/cappuccino,Starbucks,kafe/restoran,Jarang,Kombinasi keduanya,Cukup baik,Ya
45 - 54 tahun,Perempuan,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Setiap hari,1.0,"< Rp8.000,00","Rp30.000,00 - Rp40.000,00",Diseduh,Robusta,rasa,kopi hitam,Starbucks,kedai kopi,Jarang,Kombinasi keduanya,Sangat baik,Ya
18 - 24 tahun,Laki-laki,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Dalam situasi tertentu / tidak pasti,1.0,"Rp8.000,00 - Rp39.999,00","> Rp40.000,00",Machine brew,Tidak tahu / tidak ada preferensi khusus,rasa,latte/cappuccino,Fore,kafe/restoran,Cukup sering,Kombinasi keduanya,Cukup baik,Ya
55 tahun ke atas,Laki-laki,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Setiap hari,7.0,"Rp80.000,00 - Rp119.999,00","> Rp40.000,00",Machine brew,Robusta,rasa,latte/cappuccino,Tidak ada yang cocok,kedai kopi,Cukup sering,Kombinasi keduanya,Cukup baik,Ya
18 - 24 tahun,Laki-laki,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Setiap hari,7.0,"Rp80.000,00 - Rp119.999,00","Rp20.000,00 - Rp29.999,00",Diseduh,Arabica,rasa,latte/cappuccino,Kopi Kenangan,kafe/restoran,Jarang,Kombinasi keduanya,Sangat baik,Ya
45 - 54 tahun,Perempuan,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Dalam situasi tertentu / tidak pasti,1.0,"Rp40.000,00 - Rp79.999,00","Rp30.000,00 - Rp40.000,00",Manual brew,Tidak tahu / tidak ada preferensi khusus,rasa,latte/cappuccino,Starbucks,kedai kopi,Jarang,Mengikuti tren,Cukup baik,Ya
18 - 24 tahun,Laki-laki,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Beberapa kali dalam seminggu,4.0,"Rp40.000,00 - Rp79.999,00","> Rp40.000,00",Machine brew,Arabica,rasa,espresso,Starbucks,toko kelontong/supermarket,Jarang,Tetap dengan tradisi,Cukup baik,Ya
45 - 54 tahun,Laki-laki,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Setiap hari,10.0,"Rp8.000,00 - Rp39.999,00","Rp15.000,00 - Rp19.999,00",Diseduh,Arabica,kenyamanan lokasi,kopi hitam,Fore,kafe/restoran,Jarang,Tetap dengan tradisi,Cukup baik,Ya
45 - 54 tahun,Perempuan,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Setiap hari,7.0,"Rp8.000,00 - Rp39.999,00","Rp30.000,00 - Rp40.000,00",Diseduh,Robusta,rasa,latte/cappuccino,Starbucks,kedai kopi,Jarang,Tetap dengan tradisi,Cukup baik,Ya
35 - 44 tahun,Perempuan,"Kawasan Non-Kota (Contoh : Kawasan Perumahan, Kawasan Industri)",Ya,Dalam situasi tertentu / tidak pasti,1.0,"Rp8.000,00 - Rp39.999,00","Rp30.000,00 - Rp40.000,00",Diseduh,Tidak tahu / tidak ada preferensi khusus,kenyamanan lokasi,latte/cappuccino,Tidak ada yang cocok,other,Jarang,Kombinasi keduanya,Cukup baik,Ya
35 - 44 tahun,Laki-laki,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Beberapa kali dalam seminggu,4.0,"Rp8.000,00 - Rp39.999,00","> Rp40.000,00",Machine brew,Tidak tahu / tidak ada preferensi khusus,rasa,latte/cappuccino,Starbucks,kafe/restoran,Jarang,Kombinasi keduanya,Cukup baik,Ya
45 - 54 tahun,Perempuan,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Setiap hari,10.0,"< Rp8.000,00","Rp30.000,00 - Rp40.000,00",Diseduh,Arabica,rasa,kopi hitam,Starbucks,toko kelontong/supermarket,Jarang,Kombinasi keduanya,Cukup baik,Ya
35 - 44 tahun,Laki-laki,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Beberapa kali dalam seminggu,4.0,"Rp8.000,00 - Rp39.999,00","> Rp40.000,00",Diseduh,Arabica,rasa,latte/cappuccino,Fore,kafe/restoran,Sangat sering,Mengikuti tren,Sangat baik,Ya
